,제목,기간,주소
68,서울거리예술축제,2023.09.29 ~ 2023.10.01,"서울특별시 중구 을지로 12 시청광장지하쇼핑센터  서울광장, 청계광장, 무교로 일대"
69,아우르기 페스티벌,2023.09.23 ~ 2023.09.23,서울특별시 광진구 능동로 216 (능동)
70,성북동문화재야행,2023.09.22 ~ 2023.09.23,서울특별시 성북구 성북로 50-2
71,양재 아트 살롱,2023.09.22 ~ 2023.11.11,서울특별시 서초구 양재동 261-23
72,한성백제문화제,2023.09.22 ~ 2023.09.24,서울특별시 송파구 올림픽로 424 올림픽공원
73,건강서울페스티벌,2023.09.21 ~ 2023.09.21,서울특별시 중구 세종대로 110 서울특별시청  서울시청광장
74,서울뷰티위크,2023.09.21 ~ 2023.09.24,서울특별시 중구 을지로 281   서울 동대문디지털플라자 DDP
75,서울커피앤티페어,2023.09.21 ~ 2023.09.24,서울특별시 서초구 강남대로 27 (양재동)
76,영양고추 H.O.T 페스티벌,2023.09.18 ~ 2023.09.20,서울특별시 중구 을지로 12 시청광장지하쇼핑센터  서울광장
77,서울스트리트댄스페스티벌 SSDF,2023.09.17 ~ 2023.09.17,서울특별시 용산구 양녕로 445   서울 노들섬 다목적홀
78,대한민국 고려인삼 페스티벌,2023.09.16 ~ 2023.09.17,서울특별시 중구 예장동 8-1
79,대한민국 청년의 날,2023.09.16 ~ 2023.09.16,서울특별시 영등포구 여의도동 17 여의도공원 문화의마당
80,북한산 韓문화 페스티벌,2023.09.16 ~ 2023.09.17,서울특별시 은평구 진관동 125 -12 은평한옥마을 한문화 공영주차장
81,서리풀페스티벌,2023.09.16 ~ 2023.09.17,서울특별시 서초구 서초대로 233 서초역  반포대로(서초역~서초3동사거리)
82,종로청계야 놀자,2023.09.16 ~ 2023.09.16,서울특별시 종로구 종로 288 흥인지문
83,관악청년축제,2023.09.15 ~ 2023.09.17,서울특별시 관악구 신원로 35 삼모 더 프라임 타워  삼모타워 앞 별빛내린천 서원보도교 ~ 봉림교
84,클럽 하이볼,2023.09.15 ~ 2023.09.16,서울특별시 성동구 연무장15길 11 태광산업  에스팩토리 B동 3층 야외 루프탑
85,라틴아메리카 축제,2023.09.09 ~ 2023.09.09,서울특별시 성북구 동소문동2가 130-2 성북천 분수마루 및 성북천 일대(한성대입구역 2번출구)
86,은평청년축제,2023.09.09 ~ 2023.09.12,서울특별시 은평구 녹번로 16 은평문화예술회관  은평문화예술회관
87,한강 종이비행기 축제,2023.09.09 ~ 2023.09.09,서울특별시 영등포구 여의도동 85-1 진성나루 여의도 한강공원 이크루즈 앞 잔디마당
88,경복궁 별빛야행,2023.09.08 ~ 2023.10.08,서울특별시 종로구 사직로 161
89,서울국제작가축제,2023.09.08 ~ 2023.09.13,"서울특별시 용산구 양녕로 445   노들섬 라이브하우스, 다목적홀 숲, 노들갤러리 2관"
90,창덕궁 달빛기행,2023.09.07 ~ 2023.10.22,서울특별시 종로구 율곡로 99
91,장애인문화예술축제 A+ Festival,2023.09.01 ~ 2023.09.03,서울특별시 종로구 청와대로 1 청와대  청와대 헬기장 및 춘추관 일대
92,더 라이프 스타일 서울,2023.08.31 ~ 2023.10.09,"서울특별시 중구 을지로 281   서울시(DDP, 노들섬, 삼청동, 코엑스, 용산 등)"
93,서울거리공연 [버스커페스티벌],2023.08.25 ~ 2023.08.27,서울특별시 용산구 양녕로 445   노들섬
94,대한민국 청년미술축제 ; 아트그라운드,2023.08.17 ~ 2023.08.20,서울특별시 종로구 관훈동 마루아트센터 특별관
95,물총축제,2023.08.12 ~ 2023.08.13,서울특별시 마포구 증산로 87   문화비축기지
96,서대문독립축제,2023.08.12 ~ 2023.08.15,서울특별시 서대문구 연희로 248 (연희동)
97,세종썸머페스티벌: Groove,2023.08.11 ~ 2023.09.09,서울특별시 종로구 세종대로 175 세종이야기  광화문광장
98,별별놀이터,2023.08.04 ~ 2023.08.05,서울특별시 강남구 신사동
99,아시테지 국제여름축제,2023.07.15 ~ 2023.07.30,서울특별시 종로구 동숭길 114 (동숭동)2층
100,사계축제 꽃 기억해 (여름),2023.07.14 ~ 2023.07.16,서울특별시 구로구 서해안로 2117 공원관리사무소  푸른수목원
101,대한민국 전통연희축제,2023.07.12 ~ 2023.07.16,서울특별시 서초구 남부순환로 2364 국립국악원
102,페띠앙&로제 오,2023.07.08 ~ 2023.07.08,서울특별시 성동구 둘레7길 15
103,Groove In Gwanak STREETDANCE FESTIVAL (G.I.G Festival),2023.07.01 ~ 2023.07.02,서울특별시 관악구 관천로 53   관천로 문화플랫폼 s1472
104,세계유산축전,2023.07.07 ~ 2023.10.14,"서울특별시 중구 퇴계로36가길 18-1 K-Heritage(케이헤리티지)센터  백제역사유적지구, 전남순천(선암사·순천갯벌), 수원화성"
105,서울K가족축제,2023.06.30 ~ 2023.07.02,서울특별시 중구 태평로1가 1
106,하이커페스타:일상이상,2023.06.27 ~ 2023.07.01,서울특별시 중구 청계천로 40 한국관광공사 서울센터  한국관광공사 1-5층
107,단오와 함께 즐기는 대한민국 국악제,2023.06.24 ~ 2023.06.25,서울특별시 중구 퇴계로34길 28 남산골한옥마을
108,송파문화재야행,2023.06.23 ~ 2023.06.24,"서울특별시 송파구 석촌동 248 백제초기적석총 석촌동고분군, 석촌호수 서호 일대"
109,서울세계도시문화축제,2023.06.17 ~ 2023.06.18,서울특별시 종로구 세종대로 175 세종이야기
110,서초뮤직앤아트페스티벌,2023.06.16 ~ 2023.06.17,서울특별시 서초구 신반포로 194 강남고속버스터미널  서울고속버스터미널 광장(고속터미널역 1번 출구 앞)
111,문정동 로데오거리 축제,2023.06.10 ~ 2023.06.10,서울특별시 송파구 동남로4길 10   로데오거리
112,와인나잇인서울,2023.06.10 ~ 2023.06.11,서울특별시 마포구 양화로 130 라이즈호텔
113,서울비보이페스티벌,2023.06.03 ~ 2023.06.03,서울특별시 용산구 양녕로 445
114,유기농데이,2023.06.03 ~ 2023.06.03,서울특별시 중구 태평로1가 청계광장
115,문화가 있는 날 청춘마이크 <평화를 만드는 길굿>,2023.05.31 ~ 2023.11.29,경기도 화성시 동탄순환대로 69   동탄 호수공원 및 그외 장소는 홈페이지 참조
116,D.FESTA 거리공연축제,2023.05.26 ~ 2023.05.28,서울특별시 종로구 대학로 104
117,서울드럼페스티벌,2023.05.26 ~ 2023.05.27,서울특별시 용산구 양녕로 445
118,수라간 시식공감,2023.05.25 ~ 2023.06.04,서울특별시 종로구 사직로 161 경복궁
119,성북세계음식축제 누리마실,2023.05.21 ~ 2023.05.21,서울특별시 성북구 성북로 25 성북1 치안센터
120,국회동심한마당,2023.05.20 ~ 2023.05.20,서울특별시 영등포구 의사당대로 1
121,사계축제 꽃 기억해 (봄),2023.05.19 ~ 2023.05.28,서울특별시 도봉구 마들로 916 방문자센터
122,연등회,2023.05.19 ~ 2023.05.21,서울특별시 종로구 우정국로 55
123,금천하모니축제,2023.05.13 ~ 2023.05.14,서울특별시 금천구 시흥대로73길 70 금천구청종합청사
124,서울장미축제,2023.05.13 ~ 2023.05.28,서울특별시 중랑구 묵동 서울 중랑구 묵동 375
125,한강 서래섬 유채꽃 축제,2023.05.12 ~ 2023.05.21,서울특별시 서초구 반포동 반포한강공원 서래섬
126,서울안전한마당,2023.05.11 ~ 2023.05.13,서울특별시 영등포구 여의공원로 68 여의도공원관리사무소
127,DDP 봄축제 : 디자인 놀이동산,2023.05.04 ~ 2023.05.07,서울특별시 중구 을지로 281
128,BLOSSOM THE HOPE,2023.05.02 ~ 2023.05.07,서울특별시 강남구 영동대로 513 코엑스
129,창경궁 야연,2023.05.02 ~ 2023.05.19,서울특별시 종로구 창경궁로 185 창경궁
130,서울페스타,2023.04.30 ~ 2023.05.07,서울특별시 종로구 세종대로 175 세종이야기
131,서울미디어테크축제 : 을지로판타지아 열섬,2023.04.29 ~ 2023.04.29,서울특별시 중구 창경궁로5길 31
132,묘현례,2023.04.28 ~ 2023.05.01,서울특별시 종로구 종로 157 종묘공원
133,단종비 정순왕후 문화제,2023.04.22 ~ 2023.04.22,서울특별시 종로구 동망산길 150 숭인재(숭인공원관리사무소)
134,모두하나대축제,2023.04.17 ~ 2023.05.10,서울특별시 동작구 현충로 75 원불교100년기념관 및 역사문화기념관  1층
135,경복궁 생과방,2023.04.20 ~ 2023.06.28,서울특별시 종로구 사직로 161 경복궁
136,4·19혁명국민문화제,2023.04.08 ~ 2023.04.19,서울특별시 강북구 도봉로89길 13 강북구청
137,석촌호수 벚꽃축제,2023.04.05 ~ 2023.04.09,서울특별시 송파구 신천동
138,영등포 여의도봄꽃축제,2023.04.04 ~ 2023.04.09,서울특별시 영등포구 여의서로
139,N서울타워 벚꽃 페스티벌 ‘Blossom TOWER’,2023.04.01 ~ 2023.04.30,서울특별시 용산구 남산공원길 105 YTN서울타워
140,서울거리공연 구석구석 라이브,2023.04.01 ~ 2023.11.30,서울특별시 종로구 세종대로 175
141,서울릴랙스위크,2023.03.01 ~ 2023.04.30,서울특별시 강남구 남부순환로 3104 SETEC
